area_type,location,society,size,total_sqft,sqft,bath,balcony,possession date,price
Super built-up  Area,Ramagondanahalli,ViistLa,2 BHK,1151,1151,2,2,44771,48.77
Super built-up  Area,Electronic City,KBityo ,3 BHK,1025,1025,2,1,Ready to move,47
Super built-up  Area,Yelahanka,LedorSa,4 BHK,2100 - 2850,2475,4,0,43732,186
Super built-up  Area,Bisuvanahalli,Prityel,3 BHK,1075,1075,2,1,Ready to move,35
Super built-up  Area,Hebbal,Mahosya,3 BHK,1760,1760,2,2,Ready to move,123
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,3 BHK,1693,1693,3,3,Ready to move,57.39
Built-up  Area,Kasturi Nagar,Kantsce,3 BHK,1925,1925,3,,Ready to move,125
Super built-up  Area,Kanakpura Road,PrarePa,2 BHK,700,700,2,1,44643,36
Super built-up  Area,Electronics City Phase 1,,2 BHK,1070,1070,2,1,Ready to move,45.5
Super built-up  Area,Kundalahalli,Dieldli,3 BHK,1724,1724,3,2,Ready to move,125
Super built-up  Area,Chikkalasandra,,3 BHK,1290,1290,2,2,Ready to move,56.12
Built-up  Area,Uttarahalli,,2 BHK,1143,1143,2,2,Ready to move,45
Built-up  Area,Murugeshpalya,Gentson,2 BHK,1296,1296,2,,Ready to move,81
Super built-up  Area,Sarjapur  Road,Soini T,3 BHK,1254,1254,3,2,44990,38
Super built-up  Area,Ganga Nagar,Ceove G,1 BHK,600,600,1,0,Ready to move,38
Plot  Area,Yelahanka,,1 Bedroom,660,660,1,0,Ready to move,48
Super built-up  Area,Kanakpura Road,Soazak ,2 BHK,1330.74,1330.74,2,2,43964,91.79
Plot  Area,HSR Layout,,8 Bedroom,600,600,9,,Ready to move,200
Super built-up  Area,Doddathoguru,LancyRe,2 BHK,970,970,2,0,Ready to move,33
Super built-up  Area,Whitefield,Goted U,2 BHK,1459,1459,2,1,44901,94.82
Plot  Area,KR Puram,,2 Bedroom,800,800,1,1,Ready to move,130
Built-up  Area,Himagiri Meadows,,2 BHK,869,869,2,1,Ready to move,36
Super built-up  Area,Adarsh Nagar,Bhncyis,2 BHK,1270,1270,2,1,Ready to move,50
Super built-up  Area,Bhoganhalli,Rosha I,3 BHK,1670,1670,3,1,44042,99
Built-up  Area,Whitefield,Suent V,3 BHK,2010,2010,3,2,Ready to move,91
Super built-up  Area,Lakshminarayana Pura,RothaVa,2 BHK,1185,1185,2,2,Ready to move,75
Super built-up  Area,Yelahanka,NCowsar,3 BHK,1600,1600,2,3,Ready to move,75
Super built-up  Area,Begur Road,Dhalsh ,2 BHK,1200,1200,2,2,Ready to move,44
Built-up  Area,Devanahalli,BrereAt,4 Bedroom,3010 - 3410,3210,,,45149,192
Super built-up  Area,Ramakrishnappa Layout,PeBayle,2 BHK,1500,1500,2,2,Ready to move,185
Plot  Area,Murugeshpalya,,6 Bedroom,1407,1407,4,1,Ready to move,150
Super built-up  Area,Govindaraja Nagar Ward,,2 BHK,840,840,2,2,Ready to move,45
Plot  Area,Tharabanahalli,,3 Bedroom,4395,4395,3,2,Ready to move,240
Super built-up  Area,Ganga Nagar,Laavevi,2 BHK,845,845,2,1,Ready to move,55
Plot  Area,Whitefield,Chranya,4 Bedroom,5700,5700,5,3,Ready to move,650
Built-up  Area,Varthur,HioraTr,2 BHK,1160,1160,2,2,Ready to move,44
Built-up  Area,Bommanahalli,,8 Bedroom,3000,3000,8,0,Ready to move,140
Super built-up  Area,Doddathoguru,,2 BHK,1100,1100,2,1,Ready to move,62
Super built-up  Area,Gunjur,BMineis,2 BHK,1140,1140,2,3,44535,43
Super built-up  Area,Marathahalli,,2 BHK,1220,1220,2,1,Ready to move,57
Plot  Area,Devarachikkanahalli,,8 Bedroom,1350,1350,7,0,Ready to move,85
Super built-up  Area,Kanakpura Road,,2 BHK,1005,1005,2,1,Ready to move,36.68
Plot  Area,Double Road,,3 Bedroom,500,500,3,2,Ready to move,100
Super built-up  Area,Begur Road,Pruthg ,2 BHK,1358,1358,2,1,44514,80.58
Super built-up  Area,Hegde Nagar,Sonosty,3 BHK,1569,1569,3,1,Ready to move,101
Super built-up  Area,Haralur Road,SNnia E,2 BHK,1240,1240,2,1,43766,70
Super built-up  Area,Hennur Road,Anavi B,3 BHK,2089,2089,3,2,Ready to move,140
Super built-up  Area,Kothannur,,2 BHK,1206,1206,2,1,Ready to move,48.23
Super built-up  Area,Kalena Agrahara,,2 BHK,1150,1150,2,3,Ready to move,40
Built-up  Area,Cholanayakanahalli,Viony H,3 BHK,2511,2511,3,3,Ready to move,205
Built-up  Area,Kaval Byrasandra,,2 BHK,460,460,1,0,Ready to move,22
Built-up  Area,ISRO Layout,,6 Bedroom,4400,4400,6,3,Ready to move,250
Super built-up  Area,Kodanda Reddy Layout,AdentEl,3 BHK,1660,1660,2,2,Ready to move,105
Built-up  Area,Hennur Road,Gollela,4 Bedroom,2957 - 3450,3203,,,44564,224.5
Super built-up  Area,Yelahanka,Niareum,2 BHK,1326,1326,2,2,44252,78
Super built-up  Area,Garudachar Palya,,3 BHK,1325,1325,2,2,Ready to move,60.8
Super built-up  Area,EPIP Zone,SJlynro,3 BHK,1499,1499,5,2,Ready to move,102
Built-up  Area,Hegde Nagar,,6 Bedroom,3000,3000,7,2,Ready to move,210
Super built-up  Area,Kanakpura Road,,3 BHK,1665,1665,3,2,Ready to move,88
Super built-up  Area,Dasanapura,Tavenew,2 BHK,708,708,2,2,43925,37
Super built-up  Area,Kasavanhalli,Srire S,2 BHK,1060,1060,2,2,Ready to move,58.06
Plot  Area,Rajaji Nagar,,6 Bedroom,710,710,6,3,Ready to move,160
Built-up  Area,Sanjay nagar,Saenti ,2 BHK,1000,1000,2,2,Ready to move,70
Super built-up  Area,Electronic City,,2 BHK,1000,1000,2,1,44524,28.88
Super built-up  Area, Mysore Highway,,3 BHK,1450,1450,2,2,Ready to move,70
Plot  Area,ISRO Layout,,4 Bedroom,1200,1200,4,2,Ready to move,155
Super built-up  Area,Thanisandra,Bhmesy ,2 BHK,1296,1296,2,3,44993,80
Super built-up  Area,Domlur,,3 BHK,1540,1540,3,2,Ready to move,90
Plot  Area,Kengeri,Goardth,4 Bedroom,2894,2894,4,1,Ready to move,245
Super built-up  Area,Sarjapura - Attibele Road,,3 BHK,1330,1330,2,1,Ready to move,48
Built-up  Area,Devasthanagalu,,2 BHK,1200,1200,2,1,Ready to move,65
Built-up  Area,T Dasarahalli,,3 Bedroom,1200,1200,3,1,Ready to move,90
Super built-up  Area,Yeshwanthpur,IBityin,3 BHK,2502,2502,3,3,Ready to move,138
Built-up  Area,Chandapura,KHityry,2 BHK,650,650,1,1,Ready to move,17
Plot  Area,Kothanur,BDensar,3 Bedroom,2400,2400,2,1,Ready to move,150
Super built-up  Area,Green View Layout,Makeser,2 BHK,1007,1007,2,2,Ready to move,43
Super built-up  Area,Shantiniketan Layout,Maest N,2 BHK,1200,1200,2,2,Ready to move,50
Super built-up  Area,Peenya,,2 BHK,966,966,2,2,Ready to move,49.9
Built-up  Area,Nagarbhavi,,3 BHK,1630,1630,2,1,Ready to move,98
Built-up  Area,Rajaji Nagar,Brway G,3 BHK,1640,1640,3,2,Ready to move,229
Built-up  Area,Jalahalli West,,2 BHK,782,782,2,2,Ready to move,55.68
Super built-up  Area,Devanahalli,Oznuean,2 BHK,1260,1260,2,2,43982,66.78
Super built-up  Area,Lakshmiamma Garden,,3 BHK,1800,1800,3,3,Ready to move,120
Super built-up  Area,Byatarayanapura,Reeroce,3 BHK,1413,1413,2,2,Ready to move,75
Super built-up  Area,Whitefield,Sonviik,2 BHK,1116,1116,2,1,Ready to move,51.91
Super built-up  Area,Electronic City,DSgmax ,3 BHK,1530,1530,2,1,Ready to move,45.9
Built-up  Area,Ramamurthy Nagar,,4 Bedroom,3700,3700,4,1,Ready to move,225
Built-up  Area,Sarjapur  Road,Cetattu,3 Bedroom,2497,2497,3,2,Ready to move,140
Super built-up  Area,Kengeri,Vaens G,3 BHK,1540,1540,2,3,Ready to move,64
Super built-up  Area,Thanisandra,,3 BHK,1436,1436,3,1,43447,74.75
Super built-up  Area,Malleshwaram,,2 BHK,1100,1100,2,2,44252,75
Plot  Area,Hennur Road,,2 Bedroom,276,276,3,3,Ready to move,23
Super built-up  Area,Thanisandra,Moity S,3 BHK,1427,1427,3,2,Ready to move,120
Super built-up  Area,Akshaya Nagar,HiahsLa,3 BHK,2061,2061,3,1,Ready to move,200
Super built-up  Area,Hebbal,SNontle,4 BHK,3067 - 8156,5611,4,0,44383,477
Built-up  Area,Shampura,,4 BHK,2650,2650,4,2,Ready to move,150
Super built-up  Area,Devanahalli,Sabixtt,3 BHK,1282,1282,2,2,44247,68.52
Built-up  Area,Kadugodi,,2 BHK,1050,1050,2,1,Ready to move,34
Built-up  Area,LB Shastri Nagar,Sragei ,3 BHK,1600,1600,3,2,Ready to move,65
Super built-up  Area,Vajarahalli,,2 BHK,945,945,2,1,44271,54
Super built-up  Area,Hormavu,SyidaCr,2 BHK,1500,1500,2,1,Ready to move,78
Plot  Area,Vishwapriya Layout,,7 Bedroom,950,950,7,0,Ready to move,115
Built-up  Area,Peenya,Jahts H,3 BHK,1870,1870,3,3,Ready to move,110
Plot  Area,Sarjapur,Inensba,3 Bedroom,1600,1600,3,1,Ready to move,75
Super built-up  Area,Electronic City,Itelaa ,2 BHK,880,880,1,1,Ready to move,16.5
Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,,4 Bedroom,1200,1200,4,0,Ready to move,210
Super built-up  Area,Kudlu Gate,Srier P,3 BHK,1535,1535,3,2,Ready to move,83
Built-up  Area,Kanakpura Road,Wiowsri,2 BHK,950,950,2,1,Ready to move,57
Super built-up  Area,Devanahalli,Derdsig,2 BHK,1360,1360,2,1,44856,65
Super built-up  Area,8th Phase JP Nagar,Vaarech,2 BHK,1042 - 1105,1073,2,0,44349,54.005
Super built-up  Area,Bommasandra Industrial Area,,3 BHK,1280,1280,3,1,44655,50.4
Super built-up  Area,Chandra Layout,TiaksAa,3 BHK,1260,1260,2,2,43804,85.05
Built-up  Area,Hennur Road,,8 Bedroom,5000,5000,8,,Ready to move,250
Super built-up  Area,Yelahanka,LedorSa,5 BHK,3050,3050,5,1,44318,213
Super built-up  Area,Kasavanhalli,HMwerCo,3 BHK,1563.05,1563.05,3,1,Ready to move,105
Super built-up  Area,ISRO Layout,,2 BHK,1000,1000,2,1,Ready to move,60
Super built-up  Area,Anandapura,ViensRK,2 BHK,1167,1167,2,1,43622,43.76
Super built-up  Area,Vishveshwarya Layout,,7 BHK,4000,4000,7,2,Ready to move,225
Super built-up  Area,Kothanur,Somumys,3 BHK,1828,1828,3,,Ready to move,110
Super built-up  Area,Kengeri Satellite Town,HoiewLa,2 BHK,890,890,2,1,Ready to move,35
Super built-up  Area,Basavanapura,Dwity T,3 BHK,1612,1612,3,3,Ready to move,46.74
Plot  Area,Dinnur,,6 Bedroom,1034,1034,5,,Ready to move,185
Super built-up  Area,Mysore Road,Brama P,3 BHK,1710,1710,4,2,44455,91.31
Super built-up  Area,Kannamangala,VBownre,2 BHK,957,957,2,1,Ready to move,58
Super built-up  Area, Devarachikkanahalli,,3 BHK,1250,1250,2,3,43660,44
Super built-up  Area,Sanjeevini Nagar,Betatsi,3 BHK,2795,2795,4,,Ready to move,235
Super built-up  Area,Hulimavu,Prcan P,2 BHK,1125,1125,2,2,Ready to move,50
Super built-up  Area,Electronic City Phase II,Sryalan,2 BHK,1020,1020,2,1,44905,30.6
Super built-up  Area,Kalena Agrahara,,2 BHK,1200,1200,2,2,Ready to move,50
Super built-up  Area,Thanisandra,Soitya ,3 BHK,1735,1735,3,3,Ready to move,135
Super built-up  Area,Thanisandra,G conTh,3 BHK,2050,2050,3,1,Ready to move,145
Plot  Area,Mahalakshmi Layout,,4 Bedroom,3750,3750,4,0,Ready to move,760
Built-up  Area,Yarandahalli,,3 BHK,1350,1350,2,3,Ready to move,48
Super built-up  Area,Hosa Road,SStusan,2 BHK,1063,1063,2,1,44029,32
Super built-up  Area,Keshava Nagar,ETens G,3 BHK,1904,1904,3,1,Ready to move,150
Built-up  Area,Whitefield,,4 Bedroom,4200,4200,4,2,Ready to move,420
Super built-up  Area,RMV Extension,Hohnari,3 BHK,2000,2000,3,1,Ready to move,175
Super built-up  Area,Sarjapur,Kinuerg,2 BHK,1145 - 1340,1242,2,0,44879,43.49
Super built-up  Area,Tejaswini Nagar,Naods W,3 BHK,1425,1425,2,2,Ready to move,75
Super built-up  Area,Electronic City,GMown E,3 BHK,1500,1500,2,1,Ready to move,64.5
Built-up  Area,Electronic City,GMown E,2 BHK,1060,1060,2,1,Ready to move,60
Built-up  Area,Jai Bheema Nagar,Sancyra,3 BHK,1470,1470,2,2,Ready to move,70
Super built-up  Area,Kothnur Narayanapura,,6 BHK,1300,1300,6,0,Ready to move,99
Super built-up  Area,Attibele,Jae 1hu,1 BHK,450,450,1,1,Ready to move,11
Super built-up  Area,Electronic City,Prarkun,2 BHK,1152,1152,2,1,44472,64.5
Super built-up  Area,Electronic City,GMown E,3 BHK,1350,1350,2,1,Ready to move,56
Super built-up  Area,CV Raman Nagar,Srshq T,3 BHK,1550,1550,3,3,Ready to move,65
Plot  Area,CHIKKATIRUPATHI,,3 Bedroom,1500,1500,3,2,Ready to move,100
Plot  Area,Kumaraswami Layout,,5 Bedroom,600,600,3,2,Ready to move,85
Plot  Area,Nagavara,,1 Bedroom,400,400,1,0,Ready to move,14
Super built-up  Area,Malleshwaram,Utntspa,1 BHK,705,705,1,2,Ready to move,67
Built-up  Area,Electronic City,GMown E,2 BHK,770,770,1,1,Ready to move,36
Super built-up  Area,Hulimavu,Aniona ,2 BHK,1242,1242,2,3,Ready to move,51
Super built-up  Area,Hebbal Kempapura,Goateds,3 BHK,1700,1700,3,2,Ready to move,155
Super built-up  Area,Thanisandra,Soitya ,3 BHK,2144,2144,3,2,Ready to move,145
Super built-up  Area,Vijayanagar,Saahaat,3 BHK,1704,1704,3,2,44231,110
Super built-up  Area,Electronic City,GMown E,2 BHK,1070,1070,2,1,Ready to move,52
Plot  Area,8th block Koramangala,,3 Bedroom,1846,1846,3,2,Ready to move,300
Super built-up  Area,Jakkuru Layout,,2 BHK,1340,1340,2,2,Ready to move,55.7
Built-up  Area,Electronic City,GMown E,2 BHK,1025,1025,2,1,Ready to move,46
Super built-up  Area,KR Puram,MCvarar,2 BHK,1015 - 1540,1277,2,0,Ready to move,56.8
Super built-up  Area,Marathahalli,VRave E,2 BHK,1200,1200,2,2,Ready to move,52
Built-up  Area,Kanakpura Road,,4 Bedroom,2250,2250,4,1,44473,110
Super built-up  Area,Pattandur Agrahara,MaidoPl,3 BHK,1550,1550,2,3,Ready to move,80
Plot  Area,Bellandur,,4 Bedroom,1200,1200,5,,Ready to move,325
Plot  Area,Ejipura,,7 Bedroom,1800,1800,7,1,Ready to move,250
Super built-up  Area,Marathahalli,Aiitya ,2 BHK,1200,1200,2,2,Ready to move,60
Super built-up  Area,Yelahanka,PuziaVe,2 BHK,1327,1327,2,2,Ready to move,98
Super built-up  Area,Kothanur,,2 BHK,1186,1186,2,2,Ready to move,58
Built-up  Area,MS Pallya,,3 Bedroom,1783,1783,3,1,Ready to move,115
Super built-up  Area,HSR Layout,NRosete,3 BHK,1400,1400,3,2,Ready to move,56
Super built-up  Area,Nagasandra,,2 BHK,980,980,2,1,Ready to move,48
Super built-up  Area,EPIP Zone,,2 BHK,1285,1285,2,2,Ready to move,82
Super built-up  Area,Langford Town,,3 BHK,912,912,2,1,Ready to move,70
Built-up  Area,Whitefield,Sancya ,2 BHK,1225,1225,2,2,Ready to move,47.6
Super built-up  Area,Whitefield,,2 BHK,1075,1075,2,1,Ready to move,53
Built-up  Area,Kadugodi,MSingco,3 BHK,1260,1260,2,2,Ready to move,54
Super built-up  Area,Yelahanka,Pyikad ,3 BHK,1282,1282,2,2,Ready to move,48.7
Super built-up  Area,Kogilu,CaIRSCr,3 BHK,1909,1909,3,2,Ready to move,88
Super built-up  Area,Panathur,Prcesvy,2 BHK,1359,1359,2,1,Ready to move,87
Built-up  Area,Nagondanahalli,,2 BHK,1207,1207,2,2,Ready to move,43.5
Plot  Area,Padmanabhanagar,,4 Bedroom,1736,1736,6,0,Ready to move,190
Super built-up  Area,1st Block Jayanagar,,4 BHK,2850,2850,4,1,44821,428
Super built-up  Area,Kammasandra,Emstael,3 BHK,1595,1595,3,2,Ready to move,65
Built-up  Area,"Off Sarjapur Road, ",,3 BHK,1798,1798,3,2,45236,89
Super built-up  Area,Electronics City Phase 1,SNdri N,3 BHK,1475,1475,3,2,Ready to move,78.29
Super built-up  Area,Tala Cauvery Layout,HodhiSa,3 BHK,1580,1580,3,3,Ready to move,100
Super built-up  Area,Dasarahalli,Syonyph,2 BHK,1295,1295,2,1,Ready to move,65
Built-up  Area,Magadi Road,,6 Bedroom,3600,3600,6,0,Ready to move,141
Super built-up  Area,Electronic City,Itvir M,1 BHK,589,589,1,1,Ready to move,27
Super built-up  Area,Ngef Layout,,3 BHK,1415,1415,3,3,Ready to move,78
Super built-up  Area,Sarjapur  Road,Klark L,3 BHK,1787,1787,3,2,45071,98.29
Super built-up  Area,Sarjapur  Road,Klark L,3 BHK,1787,1787,3,2,Ready to move,125
Super built-up  Area,Koramangala,Piityra,3 BHK,1475,1475,2,3,Ready to move,90
Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2",,4 BHK,2000,2000,4,1,Ready to move,75.5
Super built-up  Area,Sarjapur  Road,AsastDe,2 BHK,984,984,2,1,44268,44.28
Super built-up  Area,Devanahalli,Jurdsig,3 BHK,1520 - 1740,1630,,,44762,74.82
Super built-up  Area,Muthurayya Swamy Layout,MacleK ,3 BHK,2405,2405,4,2,Ready to move,260
Built-up  Area,7th Phase JP Nagar,Brnia G,2 BHK,1080,1080,2,2,Ready to move,72
Plot  Area,Shantiniketan Layout,,2 Bedroom,1500,1500,2,1,Ready to move,115
Super built-up  Area,Hebbal,,3 BHK,1900,1900,3,2,Ready to move,119
Super built-up  Area,Dommasandra,,2 BHK,805,805,2,1,43755,22.14
Super built-up  Area,Budigere,PrityTr,2 BHK,1153,1153,2,2,Ready to move,56.4
Super built-up  Area,Dodda Nekkundi Extension,AlEcone,2 BHK,1148,1148,2,2,Ready to move,60
Super built-up  Area,Mylasandra,Laowsba,2 BHK,1110,1110,2,2,Ready to move,55
Built-up  Area,Electronic City,Saave R,2 BHK,1100,1100,2,2,Ready to move,42
Super built-up  Area,Kalyan nagar,Anave S,2 BHK,1290,1290,2,2,Ready to move,110
Super built-up  Area,Dr Shivarama Karantha Nagar,,3 BHK,1500,1500,2,1,Ready to move,65
Super built-up  Area,Bank Of Baroda Colony,,2 BHK,1080,1080,2,2,44069,39
Super built-up  Area,Vijayanagar,Saityat,3 BHK,1933,1933,3,1,44199,129
Built-up  Area,Ramamurthy Nagar,,5 Bedroom,3500,3500,5,2,Ready to move,150
Built-up  Area,Kullappa Colony,,2 BHK,1060,1060,2,2,Ready to move,60
Super built-up  Area,Chandapura,SunceEs,1 BHK,645,645,1,1,44414,16.45
Plot  Area,Mukkutam Nagar,,8 Bedroom,2600,2600,8,2,Ready to move,180
Super built-up  Area,Chandapura,SunceEs,1 BHK,645,645,1,1,43930,16.45
Super built-up  Area,Ashwath Nagar,SJcerpe,3 BHK,1644,1644,3,3,Ready to move,84
Super built-up  Area,Ncpr Industrial Layout,Supams ,2 BHK,1285,1285,2,3,Ready to move,72.5
Plot  Area,Electronic City,,3 Bedroom,1200,1200,3,1,Ready to move,90
Super built-up  Area,Electronic City,CoapeSo,2 BHK,910,910,2,1,Ready to move,40
Super built-up  Area,Kothanur,Bisic C,3 BHK,1577,1577,3,1,Ready to move,70
Plot  Area,Meenakunte,Sreat R,3 Bedroom,4050,4050,3,2,43509,280
Super built-up  Area,OMBR Layout,Inntsa ,3 BHK,2420,2420,3,2,Ready to move,185
Super built-up  Area,Chandapura,KHityry,2 BHK,800,800,1,1,Ready to move,20
Built-up  Area,Anand Nagar,,2 BHK,1060,1060,2,2,Ready to move,55
Super built-up  Area,7th Phase JP Nagar,BriumMi,2 BHK,1270,1270,2,2,Ready to move,93
Super built-up  Area,Shree Ananth Nagar Layout,,2 BHK,900,900,2,2,43790,22.5
Built-up  Area,Kundalahalli Colony,,2 Bedroom,1280,1280,2,1,Ready to move,69
Plot  Area,Horamavu Agara,,4 Bedroom,1200,1200,2,0,Ready to move,95
Built-up  Area,Sarjapur  Road,,2 BHK,1025,1025,2,2,Ready to move,36
Super built-up  Area,Electronic City,Prarkun,2 BHK,1108,1108,2,1,43733,63
Plot  Area,MCECHS  layout,,5 Bedroom,1200,1200,5,,Ready to move,170
Super built-up  Area,Coffee Board Layout,Calyxy ,3 BHK,3045,3045,3,2,Ready to move,170
Plot  Area,Ambedkar Nagar,Thessrm,4 Bedroom,2900,2900,3,2,Ready to move,300
Super built-up  Area,Vijayanagar,JJortom,3 BHK,1500,1500,3,2,Ready to move,75.5
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1295,1295,2,2,Ready to move,43.9
Super built-up  Area,Budigere,PrityTr,2 BHK,1162,1162,2,1,Ready to move,59.9
Super built-up  Area,Sarjapur  Road,Usquaya,2 BHK,1035,1035,2,2,Ready to move,49.2
Built-up  Area,Attibele,Natic T,4 Bedroom,1600,1600,4,0,Ready to move,52.8
Super built-up  Area,KUDLU MAIN ROAD,,3 BHK,1464,1464,3,2,Ready to move,46
Super built-up  Area,Hennur Road,DSapeSk,3 BHK,1866,1866,2,2,44751,61.58
Super built-up  Area,Geleyara Balaga Layout,Jahtsa ,2 BHK,700,700,1,1,Ready to move,26
Super built-up  Area,Kalena Agrahara,Prillot,3 BHK,1804,1804,3,2,Ready to move,120
Super built-up  Area,Sarjapur,,2 BHK,913,913,2,1,Ready to move,32
Super built-up  Area,Talaghattapura,Sodgere,3 BHK,1868,1868,3,2,44059,131
Built-up  Area,Kengeri Satellite Town,,2 BHK,883,883,2,1,Ready to move,45
Plot  Area,Sundara Nagar,,2 Bedroom,900,900,2,1,Ready to move,110
Super built-up  Area,Kogilu,,3 BHK,1664,1664,2,3,Ready to move,73.95
Super built-up  Area,Hegde Nagar,SoitaCa,3 BHK,2026,2026,3,2,Ready to move,132
Super built-up  Area,Balagere,Soestin,2 BHK,1210,1210,2,1,Ready to move,80.9
Plot  Area,Meenakunte,Sreat R,4 Bedroom,4111,4111,4,2,Ready to move,250
Super built-up  Area,Kadugodi,Alestrb,3 BHK,1762,1762,3,3,Ready to move,91.45
Super built-up  Area,Jigani,DLhtsen,3 BHK,1252,1252,3,3,Ready to move,55
Built-up  Area,Gollarapalya Hosahalli,Mauner ,2 BHK,861,861,2,1,Ready to move,34.5
Built-up  Area,7th Phase JP Nagar,Brnia G,3 BHK,1420,1420,2,1,Ready to move,100
Plot  Area,Srirampura,,6 Bedroom,1450,1450,6,0,Ready to move,250
Built-up  Area,Electronics City Phase 1,GaicaVe,3 BHK,1490,1490,3,1,Ready to move,78.8
Super built-up  Area,Bisuvanahalli,,3 BHK,1075,1075,2,1,Ready to move,46
Super built-up  Area,Old Madras Road,Saesttt,3 BHK,1425,1425,2,2,43801,94
Built-up  Area,Kalena Agrahara,Nae 2El,2 BHK,1200,1200,2,1,Ready to move,40
Super built-up  Area,Kaggadasapura,,3 BHK,1280,1280,2,2,Ready to move,56
Super built-up  Area,Silver Springs Layout,Bhinglv,2 BHK,1084,1084,2,2,Ready to move,50
Super built-up  Area,Chandapura,SunceEs,2 BHK,1015,1015,2,2,45203,25.88
Super built-up  Area,Kanakpura Road,GolusLi,2 BHK,1017,1017,2,1,43522,51.25
Super built-up  Area,Haralur Road,,2 BHK,1027,1027,2,2,Ready to move,44
Super built-up  Area,Electronic City Phase II,Coush W,2 BHK,1069,1069,2,2,Ready to move,45
Super built-up  Area,Hebbal,Prersis,2 BHK,1349,1349,2,1,Ready to move,98.2
Super built-up  Area,9th Phase JP Nagar,NaensGa,2 BHK,1005,1005,2,1,Ready to move,50
Super built-up  Area,Jakkur,Arzzo P,2 BHK,1417,1417,2,3,Ready to move,75
Plot  Area,TC Palaya,,3 Bedroom,1475,1475,3,1,44277,98
Carpet  Area,Maruthi Sevanagar,SMikaay,2 BHK,950,950,2,2,Ready to move,47
Super built-up  Area,RMV 2nd Stage,Prave E,4 BHK,2000,2000,4,0,Ready to move,120
Plot  Area,Giri Nagar,,3 Bedroom,880,880,3,1,Ready to move,140
Super built-up  Area,Sarjapur  Road,Ahriaup,4 BHK,1863,1863,3,2,Ready to move,104
Super built-up  Area,Singasandra,Priewhi,2 BHK,1010,1010,2,1,Ready to move,29.5
Super built-up  Area,Kalena Agrahara,Shodsth,3 BHK,1425,1425,2,1,Ready to move,70
Super built-up  Area,Vijayanagar,Swadeh ,3 BHK,1450,1450,3,0,Ready to move,100
Super built-up  Area,Kothanur,Somumys,3 BHK,1847,1847,3,2,Ready to move,105
Super built-up  Area,AECS Layout,Soran U,2 BHK,1100,1100,2,3,Ready to move,45
Super built-up  Area,Kanakpura Road,PrarePa,1 BHK,525,525,1,1,45075,26
Super built-up  Area,Mallasandra,Puestig,3 BHK,1665,1665,3,2,Ready to move,95
